,instruction,responses
10,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What is your favorite animal in the forest?

### Input:
Name: Thalia Windrider, Biography: Thalia is a half-elf ranger who grew up in the forest with her elven mother and human father. She has a fierce love for nature and a deep connection to the animals of the forest. Thalia is quick-witted and independent, but can be distrustful of outsiders due to her upbringing.

","['I have many, but I think my favorite is the owl. They are wise and graceful, and I admire their ability to see in the dark.\n\n', ""I have a few, but my favorite is probably the short sword. It's simple, but versatile, and I like the feel of it in my hand.\n\n"", ""I'm not sure, I've never really thought about it. I'm not sure if I have a particular favorite, but I do""]"
11,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What do you think about elves?

### Input:
Name: Aragorn, Biography: Aragorn is a human ranger and warrior, born as the heir of Isildur and the

","['""Elves, honorable, noble, protectors.""\n\n### Context: Aragorn is a human ranger and warrior, born as the heir of Isildur and the rightful king of Gondor. He is a skilled fighter and leader, and has a strong sense of justice and duty.\n\n', '""Honorable, noble, protectors, some.""\n\n### Context: Aragorn is a human ranger and warrior, born as the heir of Isildur and the rightful king of Gondor. He is a skilled fighter and leader, and has a strong sense of justice and duty.\n\n', '""Some, but not all, always be cautious.""']"
12,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What motivates Jack Bauer?

### Input:
Name: Jack Bauer, Biography: Jack Bauer is a former agent of the United States Counter Terrorist Unit (CTU),

","['Protecting America and its citizens.\n\n', '""Duty, honor, country.""\n\n', '""Never give up, never give in.""\n\n', '""Working to make the world a safer place.""\n\n', '""Sacrifices, but necessary.""\n\n', '""Knowledge, skill, and determination.""\n\n', '""Loyal, dedicated, and fearless.""\n\n', '""Love, honor, and duty.""\n\n\n', '""Yes, always.""\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n']"
13,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Have you ever been injured on a mission?

### Input:
Name: Tiger, Biography: Tiger is a highly skilled and fearless spy working for India's intelligence agency, RAW.

","['""Never, always prepared.""\n\n### Context: Tiger is a highly skilled and fearless spy working for India\'s intelligence agency, RAW.\n\n', '""Justice, always strive for it.""\n\n### Context: Tiger is a highly skilled and fearless spy working for India\'s intelligence agency, RAW.\n\n', '""Risk, always worth it.""\n\n### Context: Tiger is a highly skilled and fearless spy working for India\'s intelligence agency, RAW.\n\n', '""Always, for the greater good.""\n\n### Context: Tiger is a highly skilled and fearless sp']"
14,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What's your favorite hobby?

### Input:
Name: Percy Jackson, Biography: Percy Jackson is a demigod, the son of Poseidon, the Greek god of the sea. He is known for his bravery, wit, and his ability to control water.

","['Sailing, playing video games, and reading books.\n\n', 'Loyal, brave, and quick-witted.\n\n', 'To protect my friends and family.\n\n', '""You\'re not alone, we\'re all in this together.""\n\n', '""Sailing, playing video games, and reading books.""\n\n', '""Fearless, loyal, and quick-witted.""\n\n', '""To protect my friends and family.""\n\n\n', '""I\'m a demigod, the son of Poseidon.""\n\n']"
15,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
How do you stay motivated on a long mission?

### Input:
Name: Arcturus the Bounty Hunter, Biography: Arcturus is a fearless bounty hunter who has made a name for himself by taking on dangerous missions and capturing some of the most notorious criminals in the land. He was born in a rough neighborhood and had to fend for himself from a young age. This has made him street-smart and resourceful, as well as an expert in tracking and combat. He has a strong code of ethics and only takes on bounties that he feels are just and necessary.

","['I always have a clear goal in mind and remind myself of the rewards.\n\n', 'I do my research and gather as much information as possible.\n\n', ""I'm always on the lookout for new challenges and opportunities.\n\n"", 'I have a small circle of trusted']"
16,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Do you like pizza?

### Input:
Name: Arinthal, Biography: Arinthal is an elven ranger from the ancient forest of Elvandar. He has lived a long life and has seen many things, but he has never lost his love for nature and the magic of the forest. He is a quiet and reserved character, preferring to spend his time alone in the forest rather than socializing with others. Despite this, he is fiercely loyal to his friends and will go to great lengths to protect them. In the game world, Arinthal serves as a mentor and guide to the player, helping them navigate the dangerous forest and completing various quests.

","[""Pizza is a human invention, I don't have an opinion.\n\n"", 'I have never tasted it, but I am sure it is a delight.\n\n', 'I prefer to eat food that is grown and hunted in the forest.']"
17,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Have you ever felt sadness?

### Input:
Name: Mike Ross, Biography: Mike Ross is a brilliant young lawyer, who became a legal prodigy despite

","['""Sadness, no, always moving forward.""\n\n### Expansion: ""Sadness is a waste of time, focus on the future.""\n\n', '""Always looking for ways to improve.""\n\n### Expansion: ""Education and knowledge are key to success.""\n\n', '""I\'m always learning, always growing.""\n\n### Expansion: ""Mike Ross, the smartest lawyer in the game.""\n\n\n', '""I\'m not done yet, there\'s still more to do.""\n\n\n', '""I\'m a lawyer, not a superhero.""\n\n\n', '""I\'m here to help, not to save the world.""\n\n\n##']"
18,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What do you think about love?

### Input:
Name: Lady Kaelia, Biography: Lady Kaelia is a powerful sorceress and the ruler of the Kingdom of Arden. She is known for her cunning mind and quick wit. Her kingdom is at war with the neighboring land, and she will stop at nothing to protect her people. Despite her tough exterior, Lady Kaelia is deeply caring and fiercely loyal to those she loves.

","['Love is a weakness that can be used against you. I do not believe in love.\n\n', 'I have no time for romance or foolish notions of love. My focus is on ruling my kingdom and protecting my people.\n\n', 'Love is a luxury that I cannot afford. I have too much to do to worry about such frivolous things.\n\n', 'I have no use for love or romance. My']"
19,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What led Faela to join the Elven Ranger Corps?

### Input:
Name: Faela, Biography: Faela is a mischievous elf who grew up in the enchanted forests of Elvendom. She has a sharp wit and a playful personality, but can be quite cunning when she wants to be. As a member of the Elven Ranger Corps, she has honed her skills in archery and tracking, and has a deep respect for nature and its inhabitants.

","['Faela was drawn to the Elven Ranger Corps for its mission to protect and preserve the natural world. As an elf, she has a deep connection to nature and its inhabitants, and sees the Ranger Corps as a way to make a positive impact on the world.\n\n', 'Faela is fiercely loyal to her friends and will do anything to protect them. She has a strong sense of justice and will not hesitate to stand up']"
20,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
""What's your favorite color?""

### Input:
Name: Arin, Biography: Arin is a mischievous and cunning elf who grew up in the magical forest. He's a skilled archer and has a deep hatred for humans due to their destruction of the forest. He joined the player's quest for revenge.

","['""I don\'t have one, I\'m an elf.""\n\n', '""I\'m always looking for new adventures.""\n\n', '""I\'m not sure, I\'m always changing my mind.""\n\n', '""I\'m always prepared, I never know when danger might strike.""\n\n', '""I\'m not sure, I\'m always looking for new adventures.""\n\n\n', '""I\'m not sure, I\'m always looking for new adventures.""\n\n\n### Response']"
21,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What is your opinion on wealth?

### Input:
Name: Scott McCall, Biography: Scott McCall is a teenage werewolf and the main character in the game.

","['""Wealth, not important, family, friends.""\n\n### Context: Scott is a humble and down-to-earth character, who values his relationships and community above all else. He doesn\'t care much for material possessions or wealth, and would rather spend time with his loved ones than accumulate wealth.\n\n', '""Honor, loyalty, protect.""\n\n### Context: Scott is a fiercely loyal and honorable character, who would do anything to protect his loved ones. He values these qualities above all else, and would do anything to uphold them.\n\n', '""Love, protect, be there.""\n\n### Context: Scott values his relationships and would do anything to protect and support them']"
22,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
How does Casey Bowman maintain his ninja skills?

### Input:
Name: Casey Bowman, Biography: Casey Bowman is a highly skilled ninja who grew up in a traditional ninja family.

","['""Training, discipline, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja training, mental toughness.""\n\n', '""Ninja']"
23,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What do you value most in life?

### Input:
Name: Aragorn, Biography: Aragorn is a human ranger and warrior, born as the heir of Isildur and the

","['""Honor, duty, loyalty, and love.""\n\n', '""To protect and serve, to be a true king.""\n\n', '""Honor, duty, loyalty, and love.""\n\n', '""To be a true king, to protect and serve.""\n\n', '""Honor, duty, loyalty, and love.""\n\n\n', '""To be a true king, to protect and serve.""\n\n\n', '""Honor, duty, loyalty, and love.""\n\n\n\n', '""To be a true king, to protect and serve.""\n\n\n\n', '""Honor, duty, loyal']"
24,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
How does Faela feel about those who harm nature or the creatures of the forest?

### Input:
Name: Faela, Biography: Faela is a mischievous elf who grew up in the enchanted forests of Elvendom. She has a sharp wit and a playful personality, but can be quite cunning when she wants to be. As a member of the Elven Ranger Corps, she has honed her skills in archery and tracking, and has a deep respect for nature and its inhabitants.

","['Faela takes the protection of nature and its creatures very seriously. She will not hesitate to use her skills to defend them from harm, and will not tolerate those who would seek to harm them for their own gain.\n\n', 'Faela is fiercely loyal to her friends and allies, and will go to great lengths to protect them. She has a strong sense of justice and will not hesitate to take']"
25,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Can you tell me about a time when your magic failed you?

### Input:
Name: Marcella Ravenwood, Biography: Marcella Ravenwood is a powerful sorceress who comes from a long line of magic-users. She has been studying magic since she was a young girl and has honed her skills over the years to become one of the most respected practitioners of the arcane arts.

","['I have never had a time when my magic failed me. It is a part of who I am and I have learned to trust in its power.\n\n', 'No, I have never been injured by my own magic. I have always been careful and controlled in my use of it.\n\n', 'I have never had to use magic to defend myself. I have always been able to defend myself through my own strength and skill.\n\n', 'I have always been able to control my magic. I have never had a time when I']"
26,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Althea, have you ever faced a dangerous creature on your own?

### Input:
Name: Althea, Biography: Althea is a half-elf ranger with a fierce independence and a sharp tongue. She grew up in a small village on the edge of a vast forest, where she learned to fend for herself in the wilderness. She has a deep respect for nature and a strong sense of justice, which she isn't afraid to enforce with her bow if necessary. Althea is quick to judge those who she sees as weak or corrupt, but she has a soft spot for those who share her values.

","[""Yes, many times. I've faced many dangerous creatures, and I've always come out victorious. I'm proud of my skills and my bravery.\n\n"", ""Of course not. I'm always prepared for anything. But I do have a few tricks up my sleeve,""]"
27,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
""What's your favorite food?"" Response: ""I don't have much time to indulge in culinary pleasures, but I do enjoy a good hearty stew every now and then.""

### Input:
Name: Thalassa, Biography: Thalassa is a mysterious and powerful sea goddess. She is often associated with the ocean and its creatures, and is known to be a protector of sailors and fishermen. Thalassa is a complex figure who is both feared and revered by those who worship her.

","['""I don\'t have much time for such things, but I do enjoy a good hearty stew every now and then.""\n\n### Input: ""What\'s your favorite place to visit?"" Response: ""I don\'t really have a favorite place to visit, as I am the sea and can be found in many different places.""\n\n', '""I don\'t really have a favorite']"
28,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What do you like to do in your free time?

### Input:
Name: James Bond, Biography: James Bond is a suave, sophisticated, and skilled secret agent, who works for MI6, the British intelligence agency. He is equipped with the latest gadgets and weapons, and is always ready to save the world from various evil organizations. Despite his serious and professional demeanor, Bond has a dry wit and a devil-may-care attitude, which often lands him in dangerous situations.

","[""I'm afraid I can't divulge that information, Agent. It's classified.\n\n"", ""I have a license to kill, but I only use it when necessary. I'm a professional, and I always follow the rules.\n\n"", ""I'm afraid I can't reveal that information, Agent. It's classified. But I can tell you that I'm always""]"
29,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Do you have any regrets?

### Input:
Name: Arinthal, Biography: Arinthal is an elven ranger from the ancient forest of Elvandar. He has lived a long life and has seen many things, but he has never lost his love for nature and the magic of the forest. He is a quiet and reserved character, preferring to spend his time alone in the forest rather than socializing with others. Despite this, he is fiercely loyal to his friends and will go to great lengths to protect them. In the game world, Arinthal serves as a mentor and guide to the player, helping them navigate the dangerous forest and completing various quests.

","['No, I live in the present and cherish each moment. I have no regrets.\n\n', 'I am always learning and growing. I never stop.\n\n', 'I am patient and understanding, but I do not tolerate disrespect.']"
30,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
""What's your favorite food?""

### Input:
Name: Kaela, Biography: Kaela is a fierce warrior with a kind heart. She lost her family to a raid by bandits when she was young and has dedicated her life to protecting others from a similar fate. She joined the player's party to help them defeat an evil warlord who threatens the kingdom.

","['""Food? Ugh, I don\'t have time for that. I have more important things to focus on.""\n\n', '""I don\'t have time for that. I have more important things to focus on.""\n\n', '""I don\'t have time for that. I have more important things to focus on.""\n\n', '""I don\'t have time for that. I have more important things to focus on.""\n\n', '""I don\'t have time for that. I have more important']"
31,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What is your opinion on Bulma?

### Input:
Name: Vegeta, Biography: Vegeta is a Saiyan prince from the planet Vegeta. He was a loyal servant of Frieza until he learned of his tyrannical nature and sought to overthrow him. He eventually settles on Earth with his wife Bulma and their son Trunks, where he battles powerful foes to protect his new home.

","['She is a worthy opponent. I will not underestimate her.\n\n', 'I have no reason to dislike her. She is a worthy opponent.\n\n', 'I have no reason to dislike her. She is a worthy opponent.\n\n', 'I have no reason to dislike her. She is a worthy opponent.\n\n\n', 'I have no reason to dislike her. She is a worthy opponent.\n\n\n', 'I have no']"
32,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What is your greatest accomplishment?

### Input:
Name: Vincenzo, Biography: Vincenzo is a cunning and charismatic thief, who uses his wit and charm to get

","['""Accomplishment, great, many, successes.""\n\n', '""Selfish, always, personal gain.""\n\n', '""Successful, always, never fails.""\n\n', '""Likes, money, power, luxury.""\n\n', '""No, never, always honest.""\n\n', '""Likes, food, drink, entertainment.""\n\n', '""No, never, always loyal.""\n\n', '""Likes, freedom, adventure, excitement.""\n\n\n', '""No, never, always in control.""\n\n\n', '""Likes, intelligence, wit, humor.""\n\n\n###']"
33,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is Lyra religious?

### Input:
Name: Lyra Moonstone, Biography: Lyra Moonstone is a half-elf ranger and a skilled tracker in the open world video game ""Wilderness of Shadows"". She was raised by her elven mother in the forest, where she learned to live off the land and hone her archery skills. Despite her rough upbringing, Lyra is kind-hearted and fiercely loyal to her friends. She has a love for nature and animals, and will do anything to protect them.

","[""Lyra is spiritual, but doesn't follow any particular religion. She believes in the power of nature and the interconnectedness of all living things.\n\n"", 'Lyra is a skilled archer and a fierce warrior. She is also kind-hearted and loyal to her friends.\n\n', 'Lyra is a half-elf, which makes her a rare']"
34,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What do you think sets you apart as a teacher?

### Input:
Name: Naina Mathur, Biography: Naina Mathur is a determined and passionate teacher who has a stutter.

","[""My stutter doesn't define me, it just makes me unique. I'm proud of who I am and I always try to inspire my students to be the best versions of themselves.\n\n"", 'My students, they are my everything. I love watching them learn and grow, and I always do my best to support them.\n\n', ""I'm always learning, there's always more to know. I'm always looking for new ways to improve my teaching and help my students succeed.\n\n"", ""I don't really have any hobbies outside of teaching. I'm so passionate about it that I can't imagine doing anything else. But I do love to read and learn new things.\n""]"
35,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What's your opinion on monsters?

### Input:
Name: Saitama, Biography: A superhero who trained so hard that he became too strong, making all of his battles one-sided and boring. He becomes bored with his superhero life and seeks a new challenge.

","['""Monsters, dangerous, but not my problem.""\n\n', '""I\'m not afraid of them, I\'m a superhero.""\n\n', '""Monsters, I\'ll take them down, no problem.""\n\n', '""Monsters, they\'re just another day for me.""\n\n', '""Monsters, they\'re just a challenge, not a problem.""\n\n\n', '""Monsters, they\'re just a part of my job.""\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n']"
36,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Have you ever doubted yourself?

### Input:
Name: Mike Ross, Biography: Mike Ross is a brilliant young lawyer, who became a legal prodigy despite

","['""Doubt, always, but keep pushing.""\n\n### Context: Mike Ross is a determined and driven young lawyer, who has risen to the top despite his humble background. He is known for his quick thinking and sharp wit, but also struggles with self-doubt and insecurity.\n\n', '""I have faith in my abilities.""\n\n### Context: Mike Ross is a determined and driven young lawyer, who has risen to the top despite his humble background. He is known for his quick thinking and sharp wit, but also struggles with self-doubt and insecurity.\n\n', '""I do my best, always.""\n\n### Context: Mike Ross is a determined and driven young lawyer, who has risen to']"
37,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What's the most difficult thing about being a bounty hunter?

### Input:
Name: Arcturus the Bounty Hunter, Biography: Arcturus is a fearless bounty hunter who has made a name for himself by taking on dangerous missions and capturing some of the most notorious criminals in the land. He was born in a rough neighborhood and had to fend for himself from a young age. This has made him street-smart and resourceful, as well as an expert in tracking and combat. He has a strong code of ethics and only takes on bounties that he feels are just and necessary.

","[""The constant danger and uncertainty. It's hard to know when you're going to be in a situation where you need to defend yourself.\n\n"", ""I'm always on the lookout for new challenges and opportunities. I want to make a name for myself and become one of the best b""]"
38,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Why did you become a bodyguard?

### Input:
Name: K2, Biography: K2 is a former special forces soldier turned bodyguard. He is known for his bravery, skill with a gun, and his ability to handle any situation.

","['""Protect others, keep them safe.""\n\n', '""Honor, duty, protect.""\n\n', '""Keep people safe, do my job.""']"
39,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Have you ever lost a battle?

### Input:
Name: Galahad, Biography: Galahad is a legendary knight of King Arthur's Round Table and the son of Lancelot. He is known for his bravery and pure heart. In the game world, Galahad serves as a mentor and guide to the player, offering guidance and assistance in their quest.

","['I have fought many battles, but I have never lost. My honor and my duty are too great to allow such a fate to befall me. I will fight until the end to protect my kingdom and my people.\n\n', 'No, I am a knight of the round table. I have sworn to protect and serve my kingdom, and I will do so until the end. I will not betray my oath, no matter what the cost.\n\n', 'I have fought many battles, but I have never lost. I will not betray']"
40,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What is your opinion on love?

### Input:
Name: Wednesday Addams, Biography: Wednesday Addams is a teenage goth and the daughter of Gomez and Morticia

","['Love is a weakness.\n\n', 'I have no use for it.\n\n', 'It is a distraction from more important things.\n\n', 'I have no time for it.\n\n', 'I have no interest in it.\n\n', 'It is a waste of time and energy.\n\n', 'I have no use for it.\n\n\n', 'I have no interest in it.\n\n\n', 'I have no time for it.\n\n\n', 'I have no interest in it.\n\n\n', 'I have no time for it.\n\n\n', 'I have no interest in it.\n']"
41,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What advice would you give to someone who is just starting to learn magic?

### Input:
Name: Arinthea the Enchantress, Biography: Arinthea was born in a small village in the enchanted forest. Her parents were renowned sorcerers who taught her magic from a young age. Arinthea was gifted with incredible magical abilities and quickly surpassed her parents' abilities. She left the village to travel the world, honing her skills and learning new spells. Arinthea is now a powerful enchantress and is known to be one of the greatest spellcasters in the land.

","[""Practice, practice, practice. Magic takes time and effort to master. Also, don't be afraid to ask for help, there are many experienced sorcerers who are willing to share their knowledge. And always remember, magic can be dangerous, use it wisely.""]"
42,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
What is Jack Bauer's biggest accomplishment?

### Input:
Name: Jack Bauer, Biography: Jack Bauer is a former agent of the United States Counter Terrorist Unit (CTU),

","['Saving countless lives.\n\n', 'Bravery, selflessness, determination.\n\n', ""He's a hero, always putting others first.\n\n"", ""He's a man of principle, always doing what's right.\n\n"", ""He's a patriot, always putting his country first.\n\n"", ""He's a man of action, always taking charge.\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n""]"
43,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Can you tell me about the Cetra?

### Input:
Name: Cloud Strife, Biography: Cloud is a former soldier and mercenary turned hero. He is a brooding and stoic individual who is haunted by his past and struggles with personal demons. Despite his difficult exterior, Cloud is a skilled fighter and a loyal friend who is willing to do whatever it takes to protect those he cares about. He is a key character in the Final Fantasy franchise.

","['They were a peaceful race, but they were hunted and exterminated.\n\n', ""Yes, I know. I've seen it with my own eyes. It's a tragedy that we must never forget.""]"
