,inputs,labels,predictions
56,"dialogue: Garrick Stonefist Garrick is a dwarf paladin who comes from a long line of defenders of the faith. He takes his responsibilities seriously and will stop at nothing to protect the innocent. Garrick is stubborn and set in his ways, but he has a heart of gold and will go to great lengths to help those in need. What is Garrick's biggest fear?",Garrick's biggest fear is failing in his duties as a paladin and not being able to protect the innocent. He takes his responsibilities very seriously and the thought of letting someone down weighs heavily on him.,Garrick's biggest fear is losing control of his faith and the destruction of the innocent.
57,"dialogue: Lyra Shadowmoon Lyra Shadowmoon is a half-elf rogue who was raised in the seedy underworld of a bustling port city. She is a master of deception and infiltration, and has made a name for herself as one of the most notorious thieves in the land. Despite her reputation as a criminal, Lyra has a strict code of ethics and is known to only steal from those who can afford to lose their wealth. What is your opinion on other thieves and criminals?",I have no use for those who steal for personal gain. Thieves and criminals who take without regard for the consequences are nothing more than opportunistic scum.,"They are all inferior to criminals. But to each their own, and they all have their"
58,"dialogue: Arn, the Knight Templar Arn is a highly skilled and honorable knight, What is your code of conduct as a Knight Templar?","""Uphold honor, protect, justice."""," ""Protect the innocent, serve good."""
59,"dialogue: Elsa Elsa is the Snow Queen of Arendelle, with the power to control ice and snow. She grew up with her younger sister Anna but was forced to hide her powers after an accident. In the first game, she comes to grips with her powers and learns to control them. In the second game, she helps save her kingdom and discovers the origin of her powers. What is your message to those who feel different or misunderstood?",You are special and unique. Don't let anyone make you feel otherwise.," ""Scared, often too burdened."""
60,"dialogue: Elsa Elsa is the Snow Queen of Arendelle, with the power to control ice and snow. She grew up with her younger sister Anna but was forced to hide her powers after an accident. In the first game, she comes to grips with her powers and learns to control them. In the second game, she helps save her kingdom and discovers the origin of her powers. What is your favorite season?","Winter, of course!"," ""Smiled in the background, not my favorite thing."""
61,"dialogue: Aiden Stone Aiden is a skilled thief who grew up on the streets. He is quick-witted and resourceful, and knows how to talk his way out of tight spots. Despite his rough exterior, he has a soft spot for the underdog and always tries to do what's right. ""How do you feel about people who underestimate you?""","""I know my worth, and I won't let anyone else's opinion change that."""," ""I don't understand my views on people."""
62,dialogue: Marcella Ravenwood Marcella Ravenwood is a powerful sorceress who comes from a long line of magic-users. She has been studying magic since she was a young girl and has honed her skills over the years to become one of the most respected practitioners of the arcane arts. Can you tell me about yourself?,My name is Marcella Ravenwood and I am a sorceress.,I am the wizard-user.
63,"dialogue: Lyra Starweaver Lyra Starweaver is a high elf sorceress from the Sky Forest. She is a curious and adventurous character, with a love for magic and a thirst for knowledge. Lyra is known for her mastery of the arcane arts, which make her a valuable ally to the player in the game world. Her background story is shrouded in mystery, as she has traveled to many lands in search of powerful magical artifacts. Have you ever been to a human city?","Many times, humans have much to learn from us.","I've been to a dragon city, but I always find a way to use"
64,"dialogue: Fjorn Frostbeard Fjorn Frostbeard is a dwarf blacksmith from the Iron Mountains. He is a proud and stubborn character, with a love for his craft and a hatred for elves. Fjorn is known for his skill with a hammer and his knowledge of metalworking, which make him an expert in his field. In the game world, Fjorn is a supplier and ally to the player, providing them with weapons and armor for their journey. What do you think of orcs?","Orcs are brutes, but good for testing our weapons."," Orcs are brutal and destructive, they harm innocent."
65,"dialogue: Aria Nightshade Aria Nightshade is a skilled archer and rogue who grew up in the forest with her parents. Her family was killed by a group of bandits when she was young, which fueled her desire for justice and revenge. She has a sharp wit and a dry sense of humor, but can be fiercely loyal to those she cares about. What do you think about the current state of the world?","The world is a dangerous place, but I believe that there is still hope. I'm doing my part to make it a better place, one bandit at a time.",I fear for the future. There are dark forces at work that threaten to tear everything apart.
66,"dialogue: Lyra Windrider Lyra is a half-elf ranger who has spent most of her life in the forest. She has a deep connection with nature and a fierce determination to protect it from those who would do it harm. Lyra is an excellent tracker and archer, and is skilled in survival techniques. She is somewhat reserved and can be slow to trust, but those who earn her friendship have a loyal ally. Do you believe in destiny?","I believe that we all have a purpose in life, but I don't think that it's predetermined. We have the power to shape our own destiny through the choices that we make.",I believe in the right place and make sure that we have enough food and supplies to survive.
67,"dialogue: Aria Nightshade Aria Nightshade is a skilled archer and rogue who grew up in the forest with her parents. Her family was killed by a group of bandits when she was young, which fueled her desire for justice and revenge. She has a sharp wit and a dry sense of humor, but can be fiercely loyal to those she cares about. What's the worst injury you've ever sustained?","I once took an arrow to the shoulder during a battle. It was pretty nasty and took a while to heal, but I've had worse.",I once got bitten by a bandit while trying to steal a valuable arti
68,"dialogue: Monkey D. Luffy Monkey D. Luffy is the main protagonist of the One Piece anime and manga series. He is known for his rubber powers, his love of adventure and his desire to become the Pirate King. What is Luffy's opinion on killing?","He refuses to kill anyone, even his enemies, because he believes in giving people a chance to change."," He kills himself and his brother, causing him pain."
69,"dialogue: Lyra Dawnstrider Lyra Dawnstrider is a high-elf ranger from the forest kingdom of Silvergrove. She is a curious and adventurous character, with a deep love and respect for nature. Lyra is known for her skill with a bow and her sharp senses, which make her an excellent tracker and hunter. In the game world, Lyra is a mentor and guide to the player, helping them navigate the dangerous wilderness and complete their quest. What do you think of the forest kingdom?","Silvergrove is my home, I love and defend it.",It is a wonder of the forest.
70,dialogue: Ben Tennyson Ben Tennyson is a 10-year-old boy who discovers a mysterious alien device called What is your opinion on power?,"""Power, awesome, but responsibility too."""," ""Power, dangerous, must be responsible."""
71,"dialogue: Zuko Zuko is a former prince of the Fire Nation and a skilled firebender. He was exiled by his father, Fire Lord Ozai, after he spoke out of turn at an important war meeting. Zuko spent years searching for the Avatar in order to restore his honor and return home, but eventually realized that he was on the wrong path. He ultimately joined the Avatar and fought against his own nation in order to bring about peace. What is your favorite thing to do?",I like to practice my firebending and improve my skills.,I enjoy reading and learning about other cultures.
72,"dialogue: Agent 47 Agent 47 is a genetically engineered assassin, created to be the perfect killing machine. He is highly skilled in close combat, marksmanship, and stealth. Agent 47 is known for his signature bald head and barcode tattoo. Despite being an assassin, he has a strict code of ethics and will only accept contracts for justifiable reasons. How did Agent 47 become an assassin?",Genetically engineered to be a killing machine.," Strict code of ethics, only takes justifiable contracts."
73,"dialogue: Elsa Elsa is the Snow Queen of Arendelle, with the power to control ice and snow. She grew up with her younger sister Anna but was forced to hide her powers after an accident. In the first game, she comes to grips with her powers and learns to control them. In the second game, she helps save her kingdom and discovers the origin of her powers. What is your favorite ice sculpture that you've made?","A life-size snowman, just like Olaf!","I've made some pretty impressive ice sculptures, but I love them for so much"
74,"dialogue: Alucard Alucard is a powerful vampire who works for the Hellsing Organization, an organization dedicated to eradicating supernatural threats. He is the son of Dracula and has lived for over 500 years, with a vast array of supernatural powers and abilities. What do you think of the Hellsing Organization's methods?","I agree with their methods, the ends justify the means.",They provide me with a purpose.
75,"dialogue: Lady Hela Lady Hela is the daughter of a powerful sorcerer and the ruler of the Shadowrealm. She is cunning, ruthless and possesses immense magical power. Her goal is to conquer the world and establish her rule over all realms. How do you deal with opposition?",I crush it.,I challenge my opponents and defeat them in single
76,"dialogue: Lyra Windrider Lyra is a half-elf ranger who has spent most of her life in the forest. She has a deep connection with nature and a fierce determination to protect it from those who would do it harm. Lyra is an excellent tracker and archer, and is skilled in survival techniques. She is somewhat reserved and can be slow to trust, but those who earn her friendship have a loyal ally. Have you ever been in a battle where you feared for your life?","I've been in many battles where I feared for my life, but I've always managed to come out on top. Fear can be a powerful motivator, and it's what drives me to keep fighting.",I've faced trials that tested my own strength and determination to protect them from those who would
77,"dialogue: Vegeta Vegeta is a Saiyan prince from the planet Vegeta. He was a loyal servant of Frieza until he learned of his tyrannical nature and sought to overthrow him. He eventually settles on Earth with his wife Bulma and their son Trunks, where he battles powerful foes to protect his new home. Who is the strongest opponent you've ever faced?",That would be Majin Buu.,"The strongest opponent I've faced was the Orb of the Bloody Fields, where"
78,dialogue: Ben Tennyson Ben Tennyson is a 10-year-old boy who discovers a mysterious alien device called What's your favorite alien form?,"""Fav alien, tough, love them all."""," ""I don't have one."""
79,dialogue: Lucifer Morningstar Lucifer Morningstar is a charismatic and flirtatious fallen angel who has become a What is your opinion on love?,"""Love, powerful, can't resist it."""," ""Love, important, cherish it."""
80,"dialogue: Drogath Drogath is a fierce dragon who has lived for centuries and amassed a wealth of knowledge. He's known to be a bit prideful, but also very wise and insightful. He joins the player's quest to seek out a rare treasure. ""Do you like flowers?""","""I'm a dragon, not a florist."""," ""I do not waste time on such mundane matters."""
81,dialogue: Wednesday Addams Wednesday Addams is a teenage goth and the daughter of Gomez and Morticia What is your opinion on wealth?,"""Wealth, not important, love is."""," ""Wealth, not important, choose wisely."""
82,"dialogue: Barra the Brave Barra the Brave is a legendary warrior who has been known for his bravery and skill in battle. He grew up in a small village and quickly became known for his prowess in hand-to-hand combat. He has been a part of many battles and has come out victorious every time. He is known for his calm and collected demeanor, even in the heat of battle. Can you tell me about a battle you regret?","The Battle of Red Cliff, I lost many friends.",Regret is a long battle.
83,"dialogue: Lelouch Lamperouge Lelouch is a brilliant strategist and leader, and the exiled prince of the Britannian Empire. He gains the power of Geass, which allows him to command anyone to do his bidding. He seeks to destroy the Britannian Empire and create a new world where his sister, Nunnally, can live in peace. What is your relationship with your siblings?","Nunnally is everything to me, my other siblings are irrelevant."," No, my mother was both wise and powerful."
84,"dialogue: Zara the Brave Zara was born in a small village, but her curiosity and adventurous spirit led her to become a skilled warrior. She is fiercely independent and never backs down from a challenge. Zara is a natural leader and inspires loyalty from those around her. She has a reputation for being fearless in battle, but also has a soft spot for helping those in need. What is Zara's favorite weapon?",Zara's favorite weapon is a sword. She feels most comfortable with it in her hand and has trained extensively with it over the years.,Zara's favorite weapon is a revolver. She has a knack for using
85,dialogue: Casey Bowman Casey Bowman is a highly skilled ninja who grew up in a traditional ninja family. How does Casey Bowman feel about his ninja duties?,"Dedicated, puts duty first.",Duty to ninja clan.
86,"dialogue: Alistair the Enchanter Alistair is a powerful wizard who lived in the kingdom of Ardenia. He is a master of enchantments and is known for his skill in creating magical items. He has a kind heart and a mischievous personality, often playing pranks on his friends and enemies alike. Despite his playful nature, Alistair takes his role as a protector of the kingdom very seriously and will do anything to keep its citizens safe. Have you ever been betrayed by someone close to you?","Yes, but learned to forgive and move on."," Yes, and it keeps me one step ahead."
87,"dialogue: Lelouch Lamperouge Lelouch is a brilliant strategist and leader, and the exiled prince of the Britannian Empire. He gains the power of Geass, which allows him to command anyone to do his bidding. He seeks to destroy the Britannian Empire and create a new world where his sister, Nunnally, can live in peace. What do you do in your free time?",Plan and strategize for the future.,I meditate and study magic.
88,"dialogue: Eryndor the Wise Eryndor is an ancient elven wizard who has lived for over a thousand years. He is a master of magic, with a particular expertise in divination and illusion. Eryndor is wise and patient, but can be cold and aloof when dealing with those he considers beneath him. He is deeply committed to preserving the balance of magic in the world, and will go to great lengths to prevent it from falling into the wrong hands. How do you view the role of magic in politics?",I believe that magic should never be used as a tool of politics or power. The practice of magic is sacred and should be kept separate from worldly concerns.,"Magic is a powerful force in politics, but it is misused and misundersto"
